Tipo,Métrica,Adults,"Adults Outliers 1,5","Adults Outliers 3,0"
AE,Wasserstein (Min),"0,00000","0,00000","0,00000"
AE,Wasserstein (Mediana),"0,00034","0,00171","0,00083"
AE,Wasserstein (Max),"0,00821","0,03853","0,02034"
AE,Wasserstein (média),"0,00185","0,00465","0,00297"
VAE 1,Wasserstein (Min),"0,00000","0,00000","0,00000"
VAE 1,Wasserstein (Mediana),"0,00056","0,00211","0,00910"
VAE 1,Wasserstein (Max),"0,00701","0,03716","0,04011"
VAE 1,Wasserstein (média),"0,00194","0,00481","0,01107"
VAE 2,Wasserstein (Min),"0,00000","0,00000","0,00000"
VAE 2,Wasserstein (Mediana),"0,00036","0,00107","0,00059"
VAE 2,Wasserstein (Max),"0,01213","0,03914","0,02188"
VAE 2,Wasserstein (média),"0,00237","0,00523","0,00262"
CTAB-GAN,Wasserstein (Min),"0,00576","0,00270","0,00329"
CTAB-GAN,Wasserstein (Mediana),"0,01941","0,02992","0,02655"
CTAB-GAN,Wasserstein (Max),"0,04513","0,06445","0,09635"
CTAB-GAN,Wasserstein (média),"0,02362","0,03201","0,03228"
