Variável,Modelo,Base,Wasserstein
age,AE,Adults Full,0.0091
workclass,AE,Adults Full,0.0003
fnlwgt,AE,Adults Full,0.0021
education,AE,Adults Full,0.0001
marital_status,AE,Adults Full,0.0002
occupation,AE,Adults Full,0.0004
relationship,AE,Adults Full,0.0003
race,AE,Adults Full,0.0001
sex,AE,Adults Full,0.0
capital_gain,AE,Adults Full,0.0038
capital_loss,AE,Adults Full,0.0017
hours_per_week,AE,Adults Full,0.0086
native_country,AE,Adults Full,0.0013
salary,AE,Adults Full,0.0
age,VAE1,Adults Full,0.0089
workclass,VAE1,Adults Full,0.0037
fnlwgt,VAE1,Adults Full,0.0115
education,VAE1,Adults Full,0.0044
marital_status,VAE1,Adults Full,0.0029
occupation,VAE1,Adults Full,0.004
relationship,VAE1,Adults Full,0.0038
race,VAE1,Adults Full,0.0054
sex,VAE1,Adults Full,0.0059
capital_gain,VAE1,Adults Full,0.0041
capital_loss,VAE1,Adults Full,0.0093
hours_per_week,VAE1,Adults Full,0.015
native_country,VAE1,Adults Full,0.0106
salary,VAE1,Adults Full,0.0013
age,VAE2,Adults Full,0.0097
workclass,VAE2,Adults Full,0.0002
fnlwgt,VAE2,Adults Full,0.0031
education,VAE2,Adults Full,0.0003
marital_status,VAE2,Adults Full,0.0003
occupation,VAE2,Adults Full,0.0004
relationship,VAE2,Adults Full,0.0002
race,VAE2,Adults Full,0.0001
sex,VAE2,Adults Full,0.0
capital_gain,VAE2,Adults Full,0.0033
capital_loss,VAE2,Adults Full,0.0014
hours_per_week,VAE2,Adults Full,0.0121
native_country,VAE2,Adults Full,0.0022
salary,VAE2,Adults Full,0.0
age,CTAB-GAN,Adults Full,0.0342
workclass,CTAB-GAN,Adults Full,0.0207
fnlwgt,CTAB-GAN,Adults Full,0.0126
education,CTAB-GAN,Adults Full,0.0451
marital_status,CTAB-GAN,Adults Full,0.0137
occupation,CTAB-GAN,Adults Full,0.0435
relationship,CTAB-GAN,Adults Full,0.0182
race,CTAB-GAN,Adults Full,0.0386
sex,CTAB-GAN,Adults Full,0.0384
capital_gain,CTAB-GAN,Adults Full,0.0057
capital_loss,CTAB-GAN,Adults Full,0.0063
hours_per_week,CTAB-GAN,Adults Full,0.0123
native_country,CTAB-GAN,Adults Full,0.0064
salary,CTAB-GAN,Adults Full,0.0349
age,AE,"Adults Outliers 1,5",0.0111
workclass,AE,"Adults Outliers 1,5",0.0017
fnlwgt,AE,"Adults Outliers 1,5",0.0039
education,AE,"Adults Outliers 1,5",0.0008
marital_status,AE,"Adults Outliers 1,5",0.0006
occupation,AE,"Adults Outliers 1,5",0.0011
relationship,AE,"Adults Outliers 1,5",0.0007
race,AE,"Adults Outliers 1,5",0.0025
sex,AE,"Adults Outliers 1,5",0.0003
capital_gain,AE,"Adults Outliers 1,5",0.0052
capital_loss,AE,"Adults Outliers 1,5",0.0024
hours_per_week,AE,"Adults Outliers 1,5",0.037
native_country,AE,"Adults Outliers 1,5",0.003
salary,AE,"Adults Outliers 1,5",0.0
age,VAE1,"Adults Outliers 1,5",0.0091
workclass,VAE1,"Adults Outliers 1,5",0.0046
fnlwgt,VAE1,"Adults Outliers 1,5",0.0039
education,VAE1,"Adults Outliers 1,5",0.0053
marital_status,VAE1,"Adults Outliers 1,5",0.0028
occupation,VAE1,"Adults Outliers 1,5",0.0021
